"userId","role","location","TotalMeces","señority"
"4438fdcc-d933-4829-b46f-72e6a820c553","content & advertisement specialist",\N,"10","0"
"4438fdcc-d933-4829-b46f-72e6a820c553","inbound marketing manager",\N,"6","0"
"f51a4487-7b46-49a7-bc59-4ef6ecfa65b6","motion grapher/ editor audiovisual/ producción de video",\N,"24","0"
"f51a4487-7b46-49a7-bc59-4ef6ecfa65b6","storyboardista/ animador 2d cut out/ guionista",\N,"81","0"
"246cbd02-8b29-4f49-ac44-136e0171292a","team lead design",\N,"3","4"
"2c7208e9-521d-4492-adca-6cbc2f326e83","adobe training- diseño ",\N,"24","0"
"2c7208e9-521d-4492-adca-6cbc2f326e83","diseño",\N,"12","0"
"2c7208e9-521d-4492-adca-6cbc2f326e83","diseño ",\N,"11","0"
"2c7208e9-521d-4492-adca-6cbc2f326e83","diseño",\N,"11","0"
"5afa650b-e03c-4588-bcc0-2297501952fe","community manager",\N,"41","0"
"5afa650b-e03c-4588-bcc0-2297501952fe","community manager",\N,"28","0"
"13e7e980-8ee6-4f2c-ba50-96dec92ec295","diseñador ui/ux",\N,"33","0"
"10989385-e995-41ca-8814-a2df6900c7cc","desarrollador de contenido",\N,"64","0"
"10989385-e995-41ca-8814-a2df6900c7cc","creador de video",\N,"46","0"
"10989385-e995-41ca-8814-a2df6900c7cc","productor audiovisual",\N,"10","0"
"7202f693-ecc9-43ca-855d-a3c0befe30dd","diseñador",\N,"11","1"
"d93ed206-9b09-412a-a8e3-06a84556b816","diseñador",\N,"24","1"
"d93ed206-9b09-412a-a8e3-06a84556b816","diseñadora freelance ",\N,"26","0"
"d93ed206-9b09-412a-a8e3-06a84556b816","diseñadora-partner",\N,"32","0"
"d9221512-e3a0-4cc9-82f5-e75eff9d8c85","asesor financiero",\N,"16","0"
"d9221512-e3a0-4cc9-82f5-e75eff9d8c85","jefe de farmacia",\N,"10","0"
"d9221512-e3a0-4cc9-82f5-e75eff9d8c85","coordinador de operaciones",\N,"1","0"
"d9221512-e3a0-4cc9-82f5-e75eff9d8c85","auxiliar administrativo",\N,"15","0"
"464a073b-a587-4b79-ab0e-fa62b46de6a9","diseñadora grafica ",\N,"29","3"
"464a073b-a587-4b79-ab0e-fa62b46de6a9","directora creativa",\N,"10","0"
"85dd668b-c078-4945-a21d-3145631a6a7e","asistente de medios",\N,"14","0"
"fd1f8c22-3c2c-4f82-b8c3-ed46261957b4","diseñador ",\N,"70","0"
"fd1f8c22-3c2c-4f82-b8c3-ed46261957b4","diseñador",\N,"118","0"
"fd1f8c22-3c2c-4f82-b8c3-ed46261957b4","fotografía y diseño",\N,"70","0"
"fd1f8c22-3c2c-4f82-b8c3-ed46261957b4","diseño de contenidos audiovisuales",\N,"236","0"
"19f49cc8-8f15-4193-82bb-7951ebbfa920","customer service",\N,"44","0"
"19f49cc8-8f15-4193-82bb-7951ebbfa920","customer service ",\N,"51","0"
"4127060d-c2c2-4703-ba8a-6a4b89ad246e","arte ",\N,"27","3"
"4127060d-c2c2-4703-ba8a-6a4b89ad246e","arte ",\N,"25","3"
"b20a726b-f86b-401e-95e7-821fc7f9841e","ejecutiva de ventas",\N,"9","0"
"b20a726b-f86b-401e-95e7-821fc7f9841e","ejecutivo de ventas b2b",\N,"21","0"
"f76b01ef-7155-40d3-a725-ec8c6dc7c908","director creativo",\N,"39","0"
"f76b01ef-7155-40d3-a725-ec8c6dc7c908","director creativo",\N,"30","0"
"0fb744af-1026-4046-b183-af31e6f23800","editor/ postproductor ",\N,"18","0"
"0fb744af-1026-4046-b183-af31e6f23800","postproductor senior",\N,"19","0"
"0fb744af-1026-4046-b183-af31e6f23800","editor en jefe ",\N,"17","0"
"0fb744af-1026-4046-b183-af31e6f23800","redactora/editora",\N,"28","0"
"0fb744af-1026-4046-b183-af31e6f23800","asistente de producción ",\N,"31","0"
"0fa0e599-2b92-40cc-8d6c-ee9ead314e84","diseñador multimedia",\N,"12","0"
"0fa0e599-2b92-40cc-8d6c-ee9ead314e84","diseñador multimedia",\N,"13","0"
"0fa0e599-2b92-40cc-8d6c-ee9ead314e84","director de arte",\N,"12","0"
"593ffa0b-0bba-4f1c-9e40-35dccea853b7","docente",\N,"49","0"
"593ffa0b-0bba-4f1c-9e40-35dccea853b7","docente",\N,"56","0"
"8f32ccbe-1584-44f6-9eaf-c5743fad0efe","especialista de marketing digital para mexico y latam",\N,"7","0"
"8f32ccbe-1584-44f6-9eaf-c5743fad0efe","marketing digital",\N,"3","0"
"8f32ccbe-1584-44f6-9eaf-c5743fad0efe","marketing digital",\N,"46","0"
"8f32ccbe-1584-44f6-9eaf-c5743fad0efe","coordinadora marketing",\N,"47","0"
"7b32bfe8-c743-45ac-b047-83b3d8b0ce05","correctora de estilo",\N,"27","0"
"7b32bfe8-c743-45ac-b047-83b3d8b0ce05","corrección de estilo",\N,"11","0"
"7802daf8-9a62-4b25-b15a-b390f6076483","fotógrafo ",\N,"8","0"
"f2d4ba57-b012-49d6-89db-6e5d0f176028","inside sales ",\N,"2","0"
"f2d4ba57-b012-49d6-89db-6e5d0f176028","redactora-periodista ",\N,"8","0"
"75fcb10b-4ad0-439d-b5f6-c6bbbe33e1da","diseño",\N,"4","0"
"75fcb10b-4ad0-439d-b5f6-c6bbbe33e1da","diseñador",\N,"41","0"
"e1d4ba36-0aeb-4c8e-b1bc-c844b7587b8b","director ejecutivo de inteligencia de negocios",\N,"25","0"
"e2c45b86-93a1-4cce-be62-d67a8a42320f","coordinadora del área de contenido",\N,"86","0"
"075dc3a0-5d69-470d-8ab7-3949b5fccb3a","director creativo",\N,"43","0"
"075dc3a0-5d69-470d-8ab7-3949b5fccb3a","social media strategist & content manager",\N,"4","0"
"1f89ae22-52c9-426a-9699-2214dca0082b","jefa de depto de vinculación con organizaciones juveniles",\N,"18","0"
"1f89ae22-52c9-426a-9699-2214dca0082b","gerente de proyecto",\N,"6","0"
"1f89ae22-52c9-426a-9699-2214dca0082b","analista de datos y coordinación de proyectos",\N,"10","0"
"1f89ae22-52c9-426a-9699-2214dca0082b","analista de datos",\N,"1","0"
"dea6e2aa-16d1-4889-9c44-76052e58f09e","cuentas/ project manager/ content",\N,"6","0"
"dea6e2aa-16d1-4889-9c44-76052e58f09e","ejecutiva de marketing",\N,"21","0"
"dea6e2aa-16d1-4889-9c44-76052e58f09e","backoffice",\N,"19","0"
"dea6e2aa-16d1-4889-9c44-76052e58f09e","ejecutiva de medios",\N,"13","0"
"dea6e2aa-16d1-4889-9c44-76052e58f09e","content/ community manager e implant",\N,"13","0"
"dea6e2aa-16d1-4889-9c44-76052e58f09e","continuista y tráfico de campañas",\N,"22","0"
"9517cc2d-9ec2-4575-8f4e-3923a749bc40","diseñador digital  e-learning",\N,"30","3"
"9517cc2d-9ec2-4575-8f4e-3923a749bc40","jefe de diseño gráfico",\N,"83","0"
"9517cc2d-9ec2-4575-8f4e-3923a749bc40","diseñador gráfico senior",\N,"14","0"
"1ee1ff1d-5744-4286-a527-fbc337d2fc6e","gerente de marca y diseño",\N,"24","0"
"5b3c8a38-4ece-4773-b6e1-4f5c0681fc97","animador 2d y 3d",\N,"24","0"
"5b3c8a38-4ece-4773-b6e1-4f5c0681fc97","diseñador 2d y 3d",\N,"22","0"
"519e2c21-804a-4f4e-b261-a4da232fe3dc","copy",\N,"32","0"
"519e2c21-804a-4f4e-b261-a4da232fe3dc","copy creativo",\N,"6","0"
"a9c42119-fa53-4f18-af41-7ad8384473f4","planner",\N,"33","0"
"83338e52-d754-4c94-b163-f998e1ec648c","becario de contenidos e imágen digital",\N,"5","0"
"83338e52-d754-4c94-b163-f998e1ec648c","becario de editorial y diseño",\N,"6","0"
"da96cd15-b3cf-498e-bb0a-c2d60767aa3a","ing. sistemas",\N,"43","0"
"da96cd15-b3cf-498e-bb0a-c2d60767aa3a","freelance",\N,"8","0"
"da96cd15-b3cf-498e-bb0a-c2d60767aa3a","diseñador web y de aplicaciones",\N,"30","0"
"70db1a7e-0cd5-494f-9560-5d84f7411363","productora audiovisual y diseñadora gráfica",\N,"82","0"
"70db1a7e-0cd5-494f-9560-5d84f7411363","editora de contenido",\N,"23","0"
"83be8b2b-5c99-4416-8f4d-460af2327304","controller",\N,"14","0"
"83be8b2b-5c99-4416-8f4d-460af2327304","consultor de impuestos ",\N,"13","0"
"83be8b2b-5c99-4416-8f4d-460af2327304","contador general",\N,"32","0"
"83be8b2b-5c99-4416-8f4d-460af2327304","contadora",\N,"27","0"
"9e5dab84-7117-4eb3-b5f6-9ab2f2ab1824","becario",\N,"5","0"
